title,subtitle,ownership,he_has_read,no_dash_isbn,has_googlebooks_data,has_openbooks_data,authors,publisher,published_date,page_count,description,categories,category,subcategory,subjects,subject_places,googlebooks_link,openbooks_link,thumbnail_link,dewey_decimal_class
The Politics of Policy-making in Singapore,,His,1,0195887670,1.0,1.0,Khai Leong Ho,"Oxford University Press, USA",2000-01,258.0,"The book discusses Singapore's public policies, calling attention to the need to refocus on the politics of the policy making process, while discussing the political nature of policy making.",History,Singapore,,Political planning;Politics and government,Singapore,https://www.googleapis.com/books/v1/volumes/R2q6AAAAIAAJ,https://openlibrary.org/books/OL128834M/The_politics_of_policy-making_in_Singapore,http://books.google.com/books/content?id=R2q6AAAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,320.6/095957
Changing Landscapes of Singapore,"Old Tensions, New Discoveries",Hers,0,9789971697723,1.0,,Hamzah Muzaini;Choon-Piew Pow;Harvey Neo;Shirlena Huang;Noorashikin Abdul Rahman Abdul Rahman;Junjia Ye;Karen P.Y. Lai;T.C. Chang;Harng Luh Sin;Pui Leng Woo;Brendan Cheong;Andy Chong;Alvin Kok;Matthew Lam;Tu Guang Tan,NUS Press,2013-08-26,336.0,"Changing Landscapes of Singapore illuminates both the social and the physical terrains of modern Singapore. Geographers use the term landscape to refer to visible surfaces and to the spatial dimension of social relations. Landscapes arise from particular historical circumstances, and in turn help shape social arrangements and possible courses of future development. The authors describe how the settings inhabited by various social groups in Singapore affect life experiences, and explore the impact of broader regional and international forces on Singapore. Written for non-specialists, the volume reflects fresh perspectives from the scholarship of Singaporean academics. Their work is sensitive to historical and geographical trends in the region, and also engages with broader theoretical themes.",Social Science,Singapore,,,,https://www.googleapis.com/books/v1/volumes/gkmwBgAAQBAJ,,http://books.google.com/books/content?id=gkmwBgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,
Dollars & Sense,,His,1,9812321721,1.0,,Margaret Allen,,2001,347.0,"Money is important. However much money you have, the chances are that you do not use it as efficiently as you can. And with inflation, your savings and investments lose their true value over time. This book is all about using your money wisely. It covers every aspect of careful money management that everyone needs to know, including: A Saving plan: setting your financial goals; Your home: what you should consider when buying or renting; Borrowing: know the true cost; Insurance: life, home, car, health. What should you cover, and how much should you insure?; Your Personal Tax Bill: everything you need to know; Taking risks: the stock market and other investment opportunities; Making a will: why everyone should make a will; Recession: tips for self-protection in tough times.","Finance, Personal",Singapore,,,,https://www.googleapis.com/books/v1/volumes/i7pqswEACAAJ,,http://books.google.com/books/content?id=i7pqswEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,
Rich Dad's Cashflow Quadrant,"Employee, Self-employed, Business Owner, Or Investor ... which is the Best Quadrant for You",His,1,0964385627,1.0,1.0,Robert T. Kiyosaki;Sharon L. Lechter,TechPress,2000,251.0,"Outlines a strategy for attaining wealth by looking for business opportunities and investing wisely, rather than seeking security through employment.","Finance, Personal",Finance and Investment,,"Finance, Personal;Personal Finance",,https://www.googleapis.com/books/v1/volumes/_0wzswEACAAJ,https://openlibrary.org/books/OL18320138M/The_cashflow_quadrant,http://books.google.com/books/content?id=_0wzswEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,
Contemporary U.S. Tax Policy,,His,0,9780877667384,1.0,1.0,C. Eugene Steuerle,The Urban Insitute,2008,344.0,"""Contemporary U.S. Tax Policy is, at its heart, an exciting, if not always pretty, tale of democratic decisionmaking,"" writes C. Eugene Steuerle. The landmark 2004 first edition outlined the principles of taxation in the early postwar period and the tax policy battles that began with the Reagan revolution and continue today. The second edition has been expanded to investigate President George W. Bush's second term in office: the push to privatize Social Security, the stalled tax code revision, the extension of the 2001 tax cuts, and other battles. Tax policy history has always been messy, repetitive, and rancorous. Yet even in a contentious political environment, evolution--and revolution--can occur.",Business & Economics,Finance and Investment,,,,https://www.googleapis.com/books/v1/volumes/Qc_IV4LmmhAC,https://openlibrary.org/books/OL11171670M/Contemporary_U.S._Tax_Policy,http://books.google.com/books/content?id=Qc_IV4LmmhAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,
Taxing ourselves,a citizen's guide to the debate over taxes,His,0,9780262693639,1.0,1.0,Joel Slemrod;Jon M. Bakija,The MIT Press,2008-04-30,382.0,"The fourth edition of a popular guide to the key issues in tax reform, discussing the current system and alternative proposals clearly and without a political agenda.",Business & Economics,Finance and Investment,Tax,,,https://www.googleapis.com/books/v1/volumes/FiwUAQAAIAAJ,https://openlibrary.org/books/OL10238620M/Taxing_Ourselves_4th_Edition,http://books.google.com/books/content?id=FiwUAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,
Commercial Real Estate Analysis & Investments,,His,0,9780324382129,1.0,,David Geltner,Thomson South-Western,2007-01-01,848.0,"The well-known and respected authorship team of Geltner and Miller bring you a new edition of what has become the undisputed and authoritative resource on commercial real estate analysis and investment. Streamlined and completely updated with expanded coverage of corporate and international real estate investment, this upper-level real estate text presents the essential concepts, principles and tools for the analysis of commercial real estate (income producing) from an investment perspective. Once again, COMMERCIAL REAL ESTATE ANALYSIS AND INVESTMENTS, 2e, bridges the gap between mainstream finance and the current cutting edge of professional real estate practice, in order to address the implications of their key differences. This new edition continues to integrate relevant aspects of urban and financial economics to provide users with a fundamental analytical understanding and application of real estate investments – now using a student version of ARGUS® software on CD-ROM included with the book. ARGUS software is a Windows-based program used extensively throughout the real estate investment industry to solve complex investment and valuation problems. Also included free on CD is a student version of Crystal Ball®, professional-grade software used to perform risk analysis on commercial investments.Contributing author Piet Eichholtz from the University of Maasstricht contributes an entire chapter that explores international real estate investments, both opportunistically and structurally, by outlining elements for developing and implementing real estate investments successfully abroad. Jim Clayton from the University of Cincinnati thoroughly revised and updated the finance coverage and end-of-chapters questions throughout. In this edition Geltner and Miller enhance their unmatched pedagogy by adding in a discussion of the real options application to real estate development and streamlining the discussion of data returns.",Commercial real estate,Finance and Investment,Real Estate,,,https://www.googleapis.com/books/v1/volumes/mHVPPwAACAAJ,,http://books.google.com/books/content?id=mHVPPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,
Singapore,the next lap.,His,0,9812042539,,1.0,,Published for the Government of Singapore by Times Editions,1991,,,,Singapore,,,,,https://openlibrary.org/books/OL1646525M/Singapore,,959.5705
From Third World to First,The Singapore Story: 1965-2000,His,0,0060197765,1.0,1.0,Lee Kuan Yew,Harper Collins,2000-10-03,752.0,"Few gave tiny Singapore much chance of survival when it was granted independence in 1965. How is it, then, that today the former British colonial trading post is a thriving Asian metropolis with not only the world's number one airline, best airport, and busiest port of trade, but also the world's fourth–highest per capita real income? The story of that transformation is told here by Singapore's charismatic, controversial founding father, Lee Kuan Yew. Rising from a legacy of divisive colonialism, the devastation of the Second World War, and general poverty and disorder following the withdrawal of foreign forces, Singapore now is hailed as a city of the future. This miraculous history is dramatically recounted by the man who not only lived through it all but who fearlessly forged ahead and brought about most of these changes. Delving deep into his own meticulous notes, as well as previously unpublished government papers and official records, Lee details the extraordinary efforts it took for an island city–state in Southeast Asia to survive at that time. Lee explains how he and his cabinet colleagues finished off the communist threat to the fledgling state's security and began the arduous process of nation building: forging basic infrastructural roads through a land that still consisted primarily of swamps, creating an army from a hitherto racially and ideologically divided population, stamping out the last vestiges of colonial–era corruption, providing mass public housing, and establishing a national airline and airport. In this illuminating account, Lee writes frankly about his trenchant approach to political opponents and his often unorthodox views on human rights, democracy, and inherited intelligence, aiming always ""to be correct, not politically correct."" Nothing in Singapore escaped his watchful eye: whether choosing shrubs for the greening of the country, restoring the romance of the historic Raffles Hotel, or openly, unabashedly persuading young men to marry women as well educated as themselves. Today's safe, tidy Singapore bears Lee's unmistakable stamp, for which he is unapologetic: ""If this is a nanny state, I am proud to have fostered one."" Though Lee's domestic canvas in Singapore was small, his vigor and talent assured him a larger place in world affairs. With inimitable style, he brings history to life with cogent analyses of some of the greatest strategic issues of recent times and reveals how, over the years, he navigated the shifting tides of relations among America, China, and Taiwan, acting as confidant, sounding board, and messenger for them. He also includes candid, sometimes acerbic pen portraits of his political peers, including the indomitable Margaret Thatcher and Ronald Reagan, the poetry–spouting Jiang Zemin, and ideologues George Bush and Deng Xiaoping. Lee also lifts the veil on his family life and writes tenderly of his wife and stalwart partner, Kwa Geok Choo, and of their pride in their three children –– particularly the eldest son, Hsien Loong, who is now Singapore's deputy prime minister. For more than three decades, Lee Kuan Yew has been praised and vilified in equal measure, and he has established himself as a force impossible to ignore in Asian and international politics. From Third World to First offers readers a compelling glimpse into this visionary's heart, soul, and mind.",Biography & Autobiography,Singapore,,,,https://www.googleapis.com/books/v1/volumes/AKUMrFCdHl4C,https://openlibrary.org/books/OL25663687M/From_Third_World_to_First_The_Singapore_Story_-_1965-2000,http://books.google.com/books/content?id=AKUMrFCdHl4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,
Singapore Perspectives 2011 Our Inclusive Society Going Forward,,His,1,9789814374569,,1.0,Faizal bin Yahya,World Scientific Publishing Company,2011,,,,Singapore,,,,,https://openlibrary.org/books/OL26026109M/Singapore_Perspectives_2011_Our_Inclusive_Society_Going_Forward,https://covers.openlibrary.org/b/id/7586658-S.jpg,
Dynamics of the Singapore Success Story,Insights by Ngiam Tong Dow,His,1,9789814336079,1.0,1.0,Zhibin Zhang,Cengage Learning Asia,2011,216.0,"Based on his rich, firty-year experience as a senior Singapore civil servant, Ngiam Tong Dow manages to present a clear picture in this book of Singapore's path toward success. It is a collection of his speeches, interviews, and articles delivered and written between 2004 and 2010. According to Ngiam, what lies behind Singapore's spectacular achievements from 1959 onward is the island nation's relentless pursuit of knowledge as the critical lever for development. Singapore is the forerunner of knowledge-based economies emerging in this new millennium.",Political planning,Singapore,,Politics and government;Singapore economic policy;Economic conditions;Political planning,Singapore,https://www.googleapis.com/books/v1/volumes/m3XdXwAACAAJ,https://openlibrary.org/books/OL25093078M/Dynamics_of_the_Singapore_success_story,,
"The Leader, the Teacher & You",Leadership Through the Third Generation,His,0,9781783263776,1.0,,Siong Guan Lim;Joanne H. Lim,,2013,253.0,"""Everyone - regardless of profession - will benefit from reading this uniquely designed and highly original book. It is full of human insights, and it has a deep understanding of successful leadership, an appreciation of selflessness as the key to our collective future, an awareness of history's relevance to our lives and an unflinching emphasis on excellence. Siong Guan Lim is one of the most outstanding public servants in any country, and after finishing this book, you will know why."" Senator Bill Bradley Former U.S. Senator and a Managing Director at Allen & Co. United States of America ""The Leader, the Teacher and You is a riveting and thoughtful study on leadership based on theory, principles, and experience by a former Head of the Civil Service and one of Singapore's most successful and admired public servants, Siong Guan Lim. It should be read by every student of politics and public policy, and anyone who aspires to play a leadership role. The book, which as the author says is ""part biography, part commentary, and part exposition"", is loaded with insights into how to work with people, deal with reality, motivate an organisation, achieve results, anticipate change, and ensure relevance of the organisation. For those who have long puzzled over how Singapore has been able to achieve so much with so little and in short time, it is public servants such as Siong Guan Lim who have made the partnership between the civil service and the elected politicians so fruitful. Through his fascinating account of how he started in his first job as an engineer in the Sewerage Department, went on to be the Principal Private Secretary to Prime Minister Lee Kuan Yew, worked with Deputy Prime Minister and Minister of Defence Dr Goh Keng Swee, and became successively Permanent Secretary of Defence, Education, and Finance, he recounts the crucial mentorship and inspiration provided by Singapore's leaders. He thoroughly examines what true leadership is all about. Lim moved on to become Chairman of Singapore's Economic Development Board and then Group President of GIC Private Limited, the wealth fund of Singapore. I have not read such a clear analysis of the function of leadership written so succinctly and in such practical terms. It should be on the required reading list of university courses not only in Singapore, but major universities everywhere."" Professor Chan Heng Chee Chairman, Lee Kuan Yew Centre for Innovative Cities Singapore University of Technology and Design Singapore ""A remarkable bookâ€¦after I started reading it I simply couldn't put it down. It has great insights, is fun to read, and deserves to be widely read. It is full of practical wisdom for a wide range of people - from full time mums to business leaders. It sets out a framework for leaders based on values and culture, but also on lessons learned by having to take tough decisions. Siong Guan Lim had an outstanding career in the development of Singapore. The ability, motivation, and vision of the author and his colleagues are clearly one reason why Singapore and Lee Kuan Yew were so successful. Because of this the book is a great insight to understanding the phenomenon of Singapore."" Lord Griffiths of Fforestfach>BR>Vice Chairman, Goldman Sachs International United Kingdom ""Siong Guan Lim has led and managed at the most senior levels of the Singaporean government. Any leader would love to have him at his/her side, advising, counselling, provoking, and reminding. We cannot have him with us in person, but we do have this book that extracts the lessons that he has garnered from his many years of experience. We are fortunate that he has chosen to share his wisdom in writing. I have used some of his wisdom in my Harvard Kennedy School course on Effective Implementation for more than ten years. It has stood the test of time. Now, with the advent of the book, I will borrow even more from him. My students and I are grateful."" Mr Francis Hartmann Adjunct Lecturer in Public Policy and Originator of the Kennedy School course on Effective Implementation, Harvard Kennedy School of Government United States of America",Business & Economics,Singapore,,,,https://www.googleapis.com/books/v1/volumes/KecZnwEACAAJ,,http://books.google.com/books/content?id=KecZnwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,
,,His,1,9789810722043,,,,,,,,,Singapore,,,,,,,
The Ultimate Guide to Real Estate Investment in Singapore,,His,1,9789810871031,1.0,,Mohamed Ismail A. G.,,2010,337.0,,Real estate business,Singapore,,,,https://www.googleapis.com/books/v1/volumes/6hLUZwEACAAJ,,,
Doing Good Well,What Does (and Does Not) Make Sense in the Nonprofit World,His,1,9780470823897,1.0,,Willie Cheng,John Wiley & Sons,2008-12-03,276.0,"Why does a deserving charity struggle to make ends meet while another which squanders money, thrive? Because there is a structural disconnect between revenue and expenses in the nonprofit world. Is continuous growth the hallmark of a successful charity? No, it’s just the opposite—the ultimate aim of a charity is to be extinct. Would you use volunteers if it actually cost more than hiring paid skilled staff? Yes, if engagement with the community is crucial. Call these examples, ironies, paradoxes or simply insights into why the charity sector is what it is. Doing Good Well is a thinking man’s guide to the nonprofit world. It is replete with nonprofit paradigms. It provides a different twist to what one might regard as straightforward notions such as mission, staff compensation, governance and corporate social responsibility. And it surprises and challenges even as it seeks to explain charity-specific issues such as charitableness, bridging the rich/poor divide, informed giving and social entrepreneurship. And as he deconstructs existing paradigms, Willie Cheng creates new ones. Through an easy writing style, hearty anecdotes and thought-provoking perspectives, Cheng engages the readers with a strategic review of not just the status quo but also the enormous potential in the nonprofit world. The theme of the book is change. Inasmuch as charities are about changing society for the better, this book seeks to set the stage for interesting introspection. Whether you are a volunteer, business executive, nonprofit worker, governor or regulator, it’s time to start asking the questions that would help the charity sector itself change for the better. In Cheng’s words, charity is no longer simply about ""Just Doing Good"" but ""Doing Good Well."" All royalties from the sale of this book will go to charity.",Business & Economics,Social Enterprises,,,,https://www.googleapis.com/books/v1/volumes/qZLCfUTs1IUC,,http://books.google.com/books/content?id=qZLCfUTs1IUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,
Succeeding at social enterprise,hard-won lessons for nonprofits and social entrepreneurs,His,1,9780470405321,,1.0,,Jossey-Bass,2010,,,,Social Enterprises,,,,,https://openlibrary.org/books/OL24023046M/Succeeding_at_social_enterprise,,658/.048
Building Social Business,The New Kind of Capitalism That Serves Humanity's Most Pressing Needs,His,1,9781586488246,1.0,1.0,Muhammad Yunus,PublicAffairs,2010-05-11,256.0,"Muhammad Yunus, the practical visionary who pioneered microcredit and, with his Grameen Bank, won the 2006 Nobel Peace Prize, has developed a visionary new dimension for capitalism which he calls “social business.” By harnessing the energy of profit-making to the objective of fulfilling human needs, social business creates self-supporting, viable commercial enterprises that generate economic growth even as they produce goods and services that make the world a better place. In this book, Yunus shows how social business has gone from being a theory to an inspiring practice, adopted by leading corporations, entrepreneurs, and social activists across Asia, South America, Europe and the US. He demonstrates how social business transforms lives; offers practical guidance for those who want to create social businesses of their own; explains how public and corporate policies must adapt to make room for the social business model; and shows why social business holds the potential to redeem the failed promise of free-market enterprise.",Business & Economics,Social Enterprises,,Social responsibility of business;Moral and ethical aspects;Social entrepreneurship;Moral and ethical aspects of Capitalism;Capitalism;OverDrive;Business;Nonfiction,,https://www.googleapis.com/books/v1/volumes/zh5OtAEACAAJ,https://openlibrary.org/books/OL24049832M/Building_social_business,http://books.google.com/books/content?id=zh5OtAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,658.4/07
Creating a World Without Poverty,Social Business and the Future of Capitalism,His,1,9781586486679,1.0,1.0,Muhammad Yunus,Public Affairs,2007,282.0,"The author describes his vision for an innovative business model that would combine the power of free markets with a quest for a more humane, egalitarian world that could help alleviate world poverty, inequality, and other social problems.",Business & Economics,Social Enterprises,,,,https://www.googleapis.com/books/v1/volumes/UGItX6SG8SEC,https://openlibrary.org/books/OL23122279M/Creating_a_World_Without_Poverty,http://books.google.com/books/content?id=UGItX6SG8SEC&printsec=frontcover&img=1&zoom=1&source=gbs_api,174
,,His,0,1519396190,,,,,,,,,Strategy,,,,,,,
Sun Zi Bingfa,Selected Insights and Applications,His,1,9810675917,1.0,1.0,Chow Hou Wee,Prentice Hall,2005,344.0,,Business planning,Strategy,,,,https://www.googleapis.com/books/v1/volumes/YGAoHAAACAAJ,https://openlibrary.org/books/OL9195623M/Sun_Zi_Bingfa_-_Selected_Insights_and_Applications,https://covers.openlibrary.org/b/id/1055024-S.jpg,
The Strategic Way,Lessons from the Chinese Strategic Thinkers,His,0,9789810860097,1.0,,Seow Wah Sheh,,2010,273.0,,Strategic planning,Strategy,,,,https://www.googleapis.com/books/v1/volumes/kZahYgEACAAJ,,,
Redefining Global Strategy,Crossing Borders in a World where Differences Still Matter,His,1,9781591398660,1.0,1.0,Pankaj Ghemawat,Harvard Business Press,2007,257.0,"Why do so many global strategies fail—despite companies’ powerful brands and other border-crossing advantages? Seduced by market size, the illusion of a borderless, “flat” world, and the allure of similarities, firms launch one-size-fits-all strategies. But cross-border differences are larger than we often assume, explains Pankaj Ghemawat in Redefining Global Strategy. Most economic activity—including direct investment, tourism, and communication—happens locally, not internationally. In this “semiglobalized” world, one-size-fits-all strategies don’t stand a chance. Companies must instead reckon with cross-border differences. Ghemawat shows you how—by providing tools for: · Assessing the cultural, administrative, geographic, and economic differences between countries at the industry level and deciding which ones merit attention. · Tracking the implications of particular border-crossing moves for your company’s ability to create value. · Creating superior performance with strategies optimized for adaptation (adjusting to differences), aggregation (overcoming differences), and arbitrage (exploiting differences), and for compound objectives. In-depth examples reveal how companies such as Cemex, Toyota, Procter & Gamble, Tata Consultancy Services, IBM, and GE Healthcare have adroitly managed cross-border differences—as well as how other well-known companies have failed at this challenge. Crucial for any business competing across borders, this book will transform the way you approach global strategy.",Business & Economics,Strategy,,International business enterprises;Management;Strategic planning;Intercultural communication,,https://www.googleapis.com/books/v1/volumes/8iPXgr7oJ9MC,https://openlibrary.org/books/OL9771210M/Redefining_Global_Strategy,http://books.google.com/books/content?id=8iPXgr7oJ9MC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,
The Competitive Strategy,Techniques for Analyzing Industries and Competitors,His,1,0743260880,1.0,1.0,Michael E. Porter,Free Press,2003-12-26,432.0,"Now nearing its 60th printing in English and translated into nineteen languages, Michael E. Porter's Competitive Strategy has transformed the theory, practice, and teaching of business strategy throughout the world. Electrifying in its simplicity -- like all great breakthroughs -- Porter's analysis of industries captures the complexity of industry competition in five underlying forces. Porter introduces one of the most powerful competitive tools yet developed: his three generic strategies -- lowest cost, differentiation, and focus -- which bring structure to the task of strategic positioning. He shows how competitive advantage can be defined in terms of relative cost and relative prices, thus linking it directly to profitability, and presents a whole new perspective on how profit is created and divided. In the almost two decades since publication, Porter's framework for predicting competitor behavior has transformed the way in which companies look at their rivals and has given rise to the new discipline of competitor assessment. More than a million managers in both large and small companies, investment analysts, consultants, students, and scholars throughout the world have internalized Porter's ideas and applied them to assess industries, understand competitors,, and choose competitive positions. The ideas in the book address the underlying fundamentals of competition in a way that is independent of the specifics of the ways companies go about competing. Competitive Strategy has filled a void in management thinking. It provides an enduring foundation and grounding point on which all subsequent work can be built. By bringing a disciplined structure to the question of how firms achieve superior profitability, Porter's rich frameworks and deep insights comprise a sophisticated view of competition unsurpassed in the last quarter-century.",Business & Economics,Strategy,,Industrial management;Competition;Concurrentie;Analyse (algemeen);Barrières à l'entrée d'un marché;Concurrence;Management;Planification stratégique;Administración;Wettbewerbsstrategie;Gestion d'entreprise;Industria;Protected DAISY;In library,,https://www.googleapis.com/books/v1/volumes/ia-vQgAACAAJ,https://openlibrary.org/books/OL7947936M/Competitive_Strategy,http://books.google.com/books/content?id=ia-vQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,
The Lords of Strategy,The Secret Intellectual History of the New Corporate World,His,1,9781591397823,1.0,1.0,Walter Kiechel,Harvard Business Press,2010,347.0,"Journalist and editor Walter Kiechel recounts the birth and evolution of strategy, arguably the most influential business paradigm of the past half century and the trials and triumphs of the disruptors who invented it.",Business & Economics,Strategy,,Business planning,,https://www.googleapis.com/books/v1/volumes/1e_JFkI3DPMC,https://openlibrary.org/books/OL22695977M/The_lords_of_strategy,http://books.google.com/books/content?id=1e_JFkI3DPMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,658.4/012
China Shakes the World,A Titan's Rise and Troubled Future and the Challenge for America,His,1,9780618705641,1.0,1.0,James Kynge,Houghton Mifflin Harcourt,2006,270.0,"Analyzes China's economic rise and its impact on global affairs, assessing China's weaknesses--environmental pollution, crisis in social trust, weak financial system, and faltering government institutions--in terms of their disruptive effects on the world.",Business & Economics,Business,,In library;Accessible book;Desenvolvimento econômico;Economic conditions;Protected DAISY;Relações econômicas internacionais;Foreign economic relations,China;China (CondiÇÕes EconÔmicas),https://www.googleapis.com/books/v1/volumes/nny5AAAAIAAJ,https://openlibrary.org/books/OL17155631M/China_shakes_the_world,http://books.google.com/books/content?id=nny5AAAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,330.951
50 Companies that Changed the World,"Incisive Profiles of the 50 Organizations, Large and Small, that Have Shaped the Course of Modern Business",His,1,1564144968,1.0,1.0,Howard Rothman,Career PressInc,2001-01-01,253.0,"Profiles of the histories, operations, and strengths and weaknesses of 50 mostly US-based firms that have shaped modern business, ranked according to their influence and contributions. In spite of the book's subtitle, most are now quite large the top five are Microsoft, AT&T, Ford, Apple, and McDona",Business & Economics,Business,,,,https://www.googleapis.com/books/v1/volumes/3VJwQgAACAAJ,https://openlibrary.org/books/OL8646889M/50_Companies_That_Changed_the_World,http://books.google.com/books/content?id=3VJwQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,
,,His,1,0789471957,,,,,,,,,Business,,,,,,,
,,His,0,9789810889760,,,,,,,,,Singapore,,,,,,,
Divercity Singapore,A Cartoon History of Immigration,His,1,9789810860868,1.0,,Morgan Chua;Justin Zhuang,,2010,47.0,,Caricatures and cartoons,Singapore,,,,https://www.googleapis.com/books/v1/volumes/9yRgewAACAAJ,,,
The Science of Stories,An Introduction to Narrative Psychology,His,1,9780415457941,1.0,1.0,János László,Taylor & Francis,2008,228.0,Explores the role narrative plays in human life. This book demonstrates how the ways in which people tell their stories can be indicative of how they construct their worlds and their own identities. It offers a methodology which aims to uncover underlying psychological processes in narrative texts.,Psychology,Organizational Behavior,,Biographical methods;Psychological aspects of Narrative discourse analysis;Psychology;Narrative Discourse analysis;Psychological aspects,,https://www.googleapis.com/books/v1/volumes/QgulBY3sT8YC,https://openlibrary.org/books/OL16474575M/The_science_of_stories,http://books.google.com/books/content?id=QgulBY3sT8YC&printsec=frontcover&img=1&zoom=1&source=gbs_api,150.72/2
An Introduction to the Theory of Knowledge,,His,1,9780521603096,1.0,1.0,Noah Lemos,Cambridge University Press,2007-02-15,239.0,"Epistemology or the theory of knowledge is one of the cornerstones of analytic philosophy, and this book provides a clear and accessible introduction to the subject. It discusses some of the main theories of justification, including foundationalism, coherentism, reliabilism, and virtue epistemology. Other topics include the Gettier problem, internalism and externalism, skepticism, the problem of epistemic circularity, the problem of the criterion, a priori knowledge, and naturalized epistemology. Intended primarily for students taking a first class in epistemology, this lucid and well-written text would also provide an excellent introduction for anyone interested in knowing more about this important area of philosophy.",Philosophy,Organizational Behavior,,Theory of Knowledge,,https://www.googleapis.com/books/v1/volumes/5aqEQgAACAAJ,https://openlibrary.org/books/OL7748018M/An_Introduction_to_the_Theory_of_Knowledge_(Cambridge_Introductions_to_Philosophy),http://books.google.com/books/content?id=5aqEQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,
Social Epistemology,,His,1,0253215153,1.0,1.0,Steve Fuller,Indiana University Press,2002,314.0,"This is the book that launched the research program of social epistemology, which has fuelled imaginations and provoked debates across many disciplines around the world. Its opening question remains as pressing as ever: How should knowledge production be organised. The second edition contains a substantial new introduction, in which Fuller reflects on social epistemology's place in the history of analytic and continental epistemology and discusses the inspiration he has drawn from a wide variety of fields in the humanities and social sciences. It also includes a spirited attack on alternative philosophical groundings for social epistemology and a detailed response to the standard criticism that social epistemology has received from realist philosophers and natural scientists during the ""Science Wars."" InSocial EpistemologyFuller seeks to reconcile normative philosophy of science and empirical sociology of knowledge. He reinterprets key problems in the philosophy of science, such as realism, the nature of objectivity, the demarcation of science from other disciplines, and the nature of our knowledge of other times and places. In the course of this reinterpretation, which draws on concepts and arguments from many branches of the humanities and social sciences, Fuller considers such philosophically neglected questions as: How is the burden of proof determined in science? On what basis is the historian licensed to say that a ""consensus"" has been reached on a scientific claim? What implications do our patently imperfect means of linguistic transmission have for the notion that science ""retains and accumulates"" knowledge? Finally, Fuller proposes a course of ""Knowledge Policy Studies"" designed to make the theory of knowledge a branch of political theory and thereby to hasten the evolution of the epistemologist into a knowledge policy maker. In its new edition, the book remains a provocative contribution to the debate on the production, dissemination, and interpretation of knowledge in the sciences.",Philosophy,Organizational Behavior,,"Knowledge, Sociology of;Social epistemology;Sociology of Knowledge",,https://www.googleapis.com/books/v1/volumes/VJW-ZG63zf0C,https://openlibrary.org/books/OL3951481M/Social_epistemology,http://books.google.com/books/content?id=VJW-ZG63zf0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,001
Knowledge and Social Capital,Foundations and Applications,His,1,0750672226,1.0,1.0,Eric L. Lesser,Routledge,2000,323.0,"Social capital - the informal networks, trust and common understanding among individuals in an organization - determines major competitive advantages in today's networked economy. Knowledge and Social Capital explains how social capital can drive collaboration, reconcile an organization's internal and external labor markets, and improve organizational effectiveness. This edited compilation of authoritative articles helps readers understand how they can build and capitalize on their own organizations' social capital. Knowledge and Social Capital teaches core principles and important strategies to a range of executives, including organizational development specialists, corporate strategists, and knowledge management professionals. Readers will learn how an organization can: Leverage its social capital to effectively develop and manage knowledge Foster concrete, trusting and productive personal relationships among its members Use social capital to improve the effectiveness of joint ventures and alliances",Business & Economics,Organizational Behavior,,,,https://www.googleapis.com/books/v1/volumes/Qh94ajh1kLAC,https://openlibrary.org/books/OL15562638M/Knowledge_and_social_capital,http://books.google.com/books/content?id=Qh94ajh1kLAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,
